ITEM_ID,TAGS
B0057XHDWI,503
B00JK7LRGK,96
B00HOLT4T6,141
B0085MRH2O,96
B00MY7Q308,265
B00D8S7932,265
B00592V5TE,236
B000GLRWC2,534
B00CV3HC14,96
B00AV5DBI2,232
B00QLJRZB6,265
B00FXPU8KE,96
B0039QI3HO,395
B00RMW26V0,315
B004UMRFRK,315
B009TLRRCK,399
B00AV53ESO,410
B00A15K22A,462
B007YASA56,96
B00YCQJLLC,489
B0049MC6X4,232
B00HJFWH9G,425
B00GSX0AY4,265
B00I7XW0SM,1
B00KHHWQJO,96
B00B1HPGAK,482
B00WX6HPTS,315
B00MK0DLAE,503
B00TF1KF3M,141
B00CZCGIN4,96
B00HDOAC2W,96
B00Y0PJW96,265
B005HGTUO4,450
B00J9B2WVG,96
B00HQC6FF4,388
B005O7E3F2,140
B00ILYPOQW,489
B00FZHD76C,329
B00C1EPJTU,96
B00IPJP2M4,236
B00NIW7UNC,236
B0088PHCAU,236
B003TLS7PW,315
B007X2G700,96
B00WBCJD6W,534
B0024FAZ7M,314
B005JKXTIG,534
B008KJFBJS,238
B00305TEPO,238
B005GSYJ5S,238
B00VB2GRZ8,141
B008X6GJEY,534
B007KFZCMY,265
B00O2TAFIW,96
B00KH8RAYY,95
B009RJVVU8,160
B00HQNFFS6,3
B00H4MFXBI,489
B00J7GWWT0,238
B00QETKTSY,96
B008MYR5I6,236
B00AWTZF1S,534
B0070L9U6M,140
B00UOSIVT0,482
B006DB5H76,489
B00QJHZ3O6,236
B0047SHE7S,265
B00H8NHTRO,534
B00K4CEQMC,487
B00MK0APWG,141
B003C41IE8,523
B008AH3L06,96
B00BQ70XTO,388
B007AA6FOS,141
B003FJHXNA,0
B00CI99LAG,459
B00I3YM88W,141
B00QT58QRE,162
B00YECG5CW,141
B00K72FVTQ,489
B009378PYO,489
B00B0B7LX2,141
B00PAT4DNG,235
B00V38GXCM,260
B00DO42T5S,96
B003T9VLL6,238
B00GHH97IQ,96
B00HC72SHC,96
B0095UXCY2,265
B0067FDRH0,141
B00KDOO3ZG,329
B00422MC58,96
B00H879C2A,388
B00AQKDDFI,315
B0046AX0HA,482
B008KXZ266,328
B00UN0LPJM,207
B00CXMLGT2,141
B00ZETS9AA,489
B00CWDSP78,482
B00L1FW64Q,533
B0012C3EEY,265
B004DMYJTE,503
B00RANE5X8,465
B008XLYV6W,208
B00JFZ51K0,265
B00JMBR7HM,105
B00SJEHZDE,315
B00RDT7ZUE,1
